signature,database,buildtime,version
Win.Trojan.ProjectHook-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388641,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.AAEH-18,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Cheprobnk-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Cheprobnk-2,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Downloader.Boltolog-223,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Downloader.Lpdsuite-1,main.ldb,16 Sep 2021 08:32 -0400,62
Html.Exploit.CVE_2015_1744-2,main.ldb,16 Sep 2021 08:32 -0400,62
Html.Exploit.CVE_2015_2383-1,main.ldb,16 Sep 2021 08:32 -0400,62
Html.Exploit.CVE_2015_2383-2,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Downloader.Cigamve-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ralminey-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.B-473,main.ldb,16 Sep 2021 08:32 -0400,62
Osx.Exploit.Dyldprinttofile-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388653,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388654,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221772,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221773,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221774,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221775,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221776,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221777,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221778,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Vobfus-70343,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Vobfus-70344,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Vobfus-70345,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Vobfus-70346,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Vbna-7377,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Vbna-7378,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Vbna-7379,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Vbna-7380,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42661,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42662,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Crypt-6607,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388655,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388656,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Vilsel-4621,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Vilsel-4622,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221779,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388657,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388658,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42663,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42664,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42665,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42666,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42667,main.ldb,16 Sep 2021 08:32 -0400,62
